dispatch_id,name,op,shape,cycles
0,conv_modules.0,conv2d_s8,N=1;IC=3;IH=112;IW=112;OC=32;OH=56;OW=56;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,3494176
1,maxpool1,maxpool2d_s8,N=1;C=32;IH=56;IW=56;OH=27;OW=27;KH=3;KW=3;SH=2;SW=2;PH=0;PW=0;DH=1;DW=1,753611
2,bn_modules.0,batchnorm2d_s8,N=1;C=32;H=27;W=27,30983
3,conv_modules.1,conv2d_s8,N=1;IC=32;IH=27;IW=27;OC=32;OH=14;OW=14;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,1615603
4,bn_modules.1,batchnorm2d_s8,N=1;C=32;H=14;W=14,9234
5,conv_modules.2,conv2d_s8,N=1;IC=32;IH=14;IW=14;OC=32;OH=14;OW=14;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,1607338
6,conv_modules.3,conv2d_s8,N=1;IC=32;IH=27;IW=27;OC=32;OH=14;OW=14;KH=1;KW=1;SH=2;SW=2;PH=0;PW=0,371735
7,add,add_s8,n=6272,11630
8,bn_modules.2,batchnorm2d_s8,N=1;C=32;H=14;W=14,9222
9,conv_modules.4,conv2d_s8,N=1;IC=32;IH=14;IW=14;OC=64;OH=7;OW=7;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,801245
10,bn_modules.3,batchnorm2d_s8,N=1;C=64;H=7;W=7,5472
11,conv_modules.5,conv2d_s8,N=1;IC=64;IH=7;IW=7;OC=64;OH=7;OW=7;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,1543324
12,conv_modules.6,conv2d_s8,N=1;IC=32;IH=14;IW=14;OC=64;OH=7;OW=7;KH=1;KW=1;SH=2;SW=2;PH=0;PW=0,182779
13,add_1,add_s8,n=3136,5779
14,bn_modules.4,batchnorm2d_s8,N=1;C=64;H=7;W=7,5488
15,conv_modules.7,conv2d_s8,N=1;IC=64;IH=7;IW=7;OC=128;OH=4;OW=4;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,987464
16,bn_modules.5,batchnorm2d_s8,N=1;C=128;H=4;W=4,7156
17,conv_modules.8,conv2d_s8,N=1;IC=128;IH=4;IW=4;OC=128;OH=4;OW=4;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,1949936
18,conv_modules.9,conv2d_s8,N=1;IC=64;IH=7;IW=7;OC=128;OH=4;OW=4;KH=1;KW=1;SH=2;SW=2;PH=0;PW=0,213525
19,add_2,add_s8,n=2048,3865
20,relu_modules.6,relu_s8,n=2048,525
21,linear1,linear_s8,M=1;K=2048;N=1,2569
22,linear2,linear_s8,M=1;K=2048;N=1,2068
23,sigmoid1,sigmoid_s8,n=1,995
