dispatch_id,name,op,shape,cycles
0,vision_cnn.0,conv2d_s8,N=1;IC=1;IH=60;IW=90;OC=16;OH=30;OW=45;KH=5;KW=5;SH=2;SW=2;PH=2;PW=2,505997
1,vision_cnn.2,conv2d_s8,N=1;IC=16;IH=30;IW=45;OC=32;OH=15;OW=23;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,704749
2,vision_cnn.4,conv2d_s8,N=1;IC=32;IH=15;IW=23;OC=64;OH=8;OW=12;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,904048
3,vision_cnn.6,conv2d_s8,N=1;IC=64;IH=8;IW=12;OC=64;OH=4;OW=6;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,500951
4,flatten__cast_f16,cast_i8_to_f16,n=1536,2029
5,vision_fc,linear_f16,M=1;K=1536;N=512,765202
6,depth_conv.0,conv2d_s8,N=1;IC=4;IH=8;IW=8;OC=16;OH=8;OW=8;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,53600
7,depth_conv.2,conv2d_s8,N=1;IC=16;IH=8;IW=8;OC=16;OH=8;OW=8;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,181966
8,flatten_1__cast_f16,cast_i8_to_f16,n=1024,571
9,depth_fc,linear_f16,M=1;K=1024;N=64,65050
10,lowdim__cast_f16,cast_i8_to_f16,n=21,92
11,cat,cat3_c1_f16,N=1;H=1;W=1;C_inputs=512|64|21;C_total=597,558
12,lstm_l0,lstm_f16,in_size=597;H=128,574680
13,lstm_l1,lstm_f16,in_size=128;H=128,348437
14,lstm_l2,lstm_f16,in_size=128;H=128,347771
15,head,linear_f16,M=1;K=128;N=2,876
